Any line that doesn't start with TM/HM/SPECIES is discarded as a comment.
The TM move specified will automatically be written over the ARM9 entry as well.
The item icon and palette will still have to be modified, else the original type will be displayed.

TM001: MOVE_LOW_SWEEP

TM002: MOVE_DRAGON_CLAW

TM003: MOVE_WATER_PULSE

TM004: MOVE_SURF

TM005: MOVE_FEINT_ATTACK

TM006: MOVE_BREAKING_SWIPE

TM007: MOVE_DRAGON_PULSE

TM008: MOVE_ROCK_SMASH

TM009: MOVE_BUG_BITE

TM010: MOVE_SMART_STRIKE

TM011: MOVE_ELECTROWEB

TM012: MOVE_FACADE

TM013: MOVE_ICE_BEAM

TM014: MOVE_BULLDOZE

TM015: MOVE_STRUGGLE_BUG

TM016: MOVE_ICY_WIND

TM017: MOVE_BODY_PRESS

TM018: MOVE_HEAVY_SLAM

TM019: MOVE_ROOST

TM020: MOVE_DARK_PULSE

TM021: MOVE_PSYCHIC_FANGS

TM022: MOVE_SOLAR_BEAM

TM023: MOVE_SOLAR_BLADE

TM024: MOVE_THUNDERBOLT

TM025: MOVE_IRON_HEAD

TM026: MOVE_EARTHQUAKE

TM027: MOVE_EARTH_POWER

TM028: MOVE_GIGA_DRAIN

TM029: MOVE_PSYCHIC

TM030: MOVE_SHADOW_BALL

TM031: MOVE_BRICK_BREAK

TM032: MOVE_SWIFT

TM033: MOVE_SLUDGE_WAVE

TM034: MOVE_SHOCK_WAVE

TM035: MOVE_FLAMETHROWER

TM036: MOVE_SHADOW_CLAW

TM037: MOVE_DRAINING_KISS

TM038: MOVE_DUAL_WINGBEAT

TM039: MOVE_ROCK_TOMB

TM040: MOVE_AERIAL_ACE

TM041: MOVE_POISON_JAB

TM042: MOVE_NIGHT_SHADE

TM043: MOVE_GYRO_BALL

TM044: MOVE_PLAY_ROUGH

TM045: MOVE_X_SCISSOR

TM046: MOVE_WEATHER_BALL

TM047: MOVE_STEEL_WING

TM048: MOVE_ROCK_SLIDE

TM049: MOVE_AVALANCHE

TM050: MOVE_FLASH_CANNON

TM051: MOVE_ROOST

TM052: MOVE_FOCUS_BLAST

TM053: MOVE_ENERGY_BALL

TM054: MOVE_FALSE_SWIPE

TM055: MOVE_BRINE

TM056: MOVE_FLING

TM057: MOVE_CHARGE_BEAM

TM058: MOVE_ENDURE

TM059: MOVE_DRAGON_PULSE

TM060: MOVE_DRAIN_PUNCH

TM061: MOVE_WILL_O_WISP

TM062: MOVE_SILVER_WIND

TM063: MOVE_EMBARGO

TM064: MOVE_EXPLOSION

TM065: MOVE_SHADOW_CLAW

TM066: MOVE_PAYBACK

TM067: MOVE_RECYCLE

TM068: MOVE_GIGA_IMPACT

TM069: MOVE_ROCK_POLISH

TM070: MOVE_FLASH

TM071: MOVE_STONE_EDGE

TM072: MOVE_AVALANCHE

TM073: MOVE_THUNDER_WAVE

TM074: MOVE_GYRO_BALL

TM075: MOVE_SWORDS_DANCE

TM076: MOVE_STEALTH_ROCK

TM077: MOVE_PSYCH_UP

TM078: MOVE_CAPTIVATE

TM079: MOVE_DARK_PULSE

TM080: MOVE_ROCK_SLIDE

TM081: MOVE_X_SCISSOR

TM082: MOVE_SLEEP_TALK

TM083: MOVE_NATURAL_GIFT

TM084: MOVE_POISON_JAB

TM085: MOVE_DREAM_EATER

TM086: MOVE_GRASS_KNOT

TM087: MOVE_SWAGGER

TM088: MOVE_PLUCK

TM089: MOVE_U_TURN

TM090: MOVE_SUBSTITUTE

TM091: MOVE_FLASH_CANNON

TM092: MOVE_TRICK_ROOM

HM001: MOVE_CUT

HM002: MOVE_FLY

HM003: MOVE_SURF

HM004: MOVE_STRENGTH

HM005: MOVE_WHIRLPOOL

HM006: MOVE_ROCK_SMASH

HM007: MOVE_WATERFALL

HM008: MOVE_ROCK_CLIMB
